No,Symbol, StockName,Sector,Currency,Board,ListDate,NoOfShares
1,AALI,Astra Agro Lestari Tbk.,Agriculture,IDR,UTAMA,09 Des 1997,"1,924,688,333"
2,ANDI,Andira Agro Tbk.,Agriculture,IDR,PENGEMBANGAN,16 Ags 2018,"9,350,000,000"
3,ANJT,Austindo Nusantara Jaya Tbk.,Agriculture,USD,Utama,08 Mei 2013,"3,354,175,000"
4,BEEF,Estika Tata Tiara Tbk.,Agriculture,IDR,PENGEMBANGAN,10-Jan-19,"1,884,312,565"
5,BISI,BISI International Tbk.,Agriculture,IDR,UTAMA,28 Mei 2007,"3,000,000,000"
6,BWPT,Eagle High Plantations Tbk.,Agriculture,IDR,UTAMA,27 Okt 2009,"31,525,291,000"
7,CSRA,Cisadane Sawit Raya Tbk.,Agriculture,IDR,Pengembangan,9-Jan-20,"2,050,000,000"
8,DSFI,Dharma Samudera Fishing Indust,Agriculture,IDR,UTAMA,24-Mar-00,"1,857,135,500"
9,DSNG,Dharma Satya Nusantara Tbk.,Agriculture,IDR,UTAMA,14-Jun-13,"10,599,842,400"
10,GOLL,Golden Plantation Tbk.,Agriculture,IDR,PENGEMBANGAN,23 Des 2014,"3,665,000,759"
11,GZCO,Gozco Plantations Tbk.,Agriculture,IDR,Utama,15 Mei 2008,"6,000,000,000"
12,JAWA,Jaya Agra Wattie Tbk.,Agriculture,IDR,UTAMA,30 Mei 2011,"3,774,685,500"
13,LSIP,PP London Sumatra Indonesia Tb,Agriculture,IDR,UTAMA,5-Jul-96,"6,822,863,965"
14,MAGP,Multi Agro Gemilang Plantation,Agriculture,IDR,Pengembangan,16-Jan-13,"9,000,000,004"
15,MGRO,Mahkota Group Tbk.,Agriculture,IDR,Utama,12-Jul-18,"3,554,445,700"
16,PALM,Provident Agro Tbk.,Agriculture,IDR,PENGEMBANGAN,08 Okt 2012,"7,119,540,356"
17,SGRO,Sampoerna Agro Tbk.,Agriculture,IDR,UTAMA,18-Jun-07,"1,890,000,000"
18,SIMP,Salim Ivomas Pratama Tbk.,Agriculture,IDR,UTAMA,9-Jun-11,"15,816,310,000"
19,SMAR,Smart Tbk.,Agriculture,IDR,PENGEMBANGAN,20-Nov-92,"2,872,193,366"
20,SSMS,Sawit Sumbermas Sarana Tbk.,Agriculture,IDR,UTAMA,12 Des 2013,"9,525,000,000"
21,UNSP,Bakrie Sumatera Plantations Tb,Agriculture,IDR,UTAMA,6-Mar-90,"2,500,162,344"
1,ADMG,Polychem Indonesia Tbk,Basic Industry & Chemicals,IDR,Utama,20 Okt 1993,"3,889,179,559"
2,AGII,Aneka Gas Industri Tbk.,Basic Industry & Chemicals,IDR,UTAMA,28-Sep-16,"3,066,660,000"
3,AKPI,Argha Karya Prima Industry Tbk,Basic Industry & Chemicals,IDR,PENGEMBANGAN,18 Des 1992,"680,000,000"
4,ALDO,Alkindo Naratama Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,12-Jul-11,"1,100,000,000"
5,ALKA,Alakasa Industrindo Tbk,Basic Industry & Chemicals,IDR,PENGEMBANGAN,12-Jul-90,"507,665,055"
6,ALMI,Alumindo Light Metal Industry,Basic Industry & Chemicals,IDR,PENGEMBANGAN,2-Jan-97,"616,000,000"
7,AMFG,Asahimas Flat Glass Tbk.,Basic Industry & Chemicals,IDR,Utama,8-Nov-95,"434,000,000"
8,APLI,Asiaplast Industries Tbk.,Basic Industry & Chemicals,IDR,UTAMA,01 Mei 2000,"1,362,671,400"
9,ARNA,Arwana Citramulia Tbk.,Basic Industry & Chemicals,IDR,UTAMA,17-Jul-01,"7,341,430,976"
10,BAJA,Saranacentral Bajatama Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,21 Des 2011,"1,800,000,000"
11,BRNA,Berlina Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,6-Nov-89,"979,110,000"
12,BRPT,Barito Pacific Tbk.,Basic Industry & Chemicals,USD,UTAMA,01 Okt 1993,"89,016,503,420"
13,BTON,Betonjaya Manunggal Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,18-Jul-01,"720,000,000"
14,CAKK,Cahayaputra Asa Keramik Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,31 Okt 2018,"1,203,300,006"
15,CPIN,Charoen Pokphand Indonesia Tbk,Basic Industry & Chemicals,IDR,UTAMA,18-Mar-91,"16,398,000,000"
16,CPRO,Central Proteina Prima Tbk.,Basic Industry & Chemicals,IDR,UTAMA,28-Nov-06,"59,572,382,787"
17,CTBN,Citra Tubindo Tbk.,Basic Industry & Chemicals,IDR,UTAMA,28-Nov-89,"800,371,500"
18,DPNS,Duta Pertiwi Nusantara Tbk.,Basic Industry & Chemicals,IDR,UTAMA,08 Ags 1990,"331,129,952"
19,EKAD,Ekadharma International Tbk.,Basic Industry & Chemicals,IDR,UTAMA,14 Ags 1990,"698,775,000"
20,ESIP,Sinergi Inti Plastindo Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,14-Nov-19,"640,000,000"
21,ETWA,Eterindo Wahanatama Tbk,Basic Industry & Chemicals,IDR,UTAMA,16 Mei 1997,"968,297,000"
22,FASW,Fajar Surya Wisesa Tbk.,Basic Industry & Chemicals,IDR,UTAMA,19 Des 1994,"2,477,888,787"
23,FPNI,Lotte Chemical Titan Tbk.,Basic Industry & Chemicals,IDR,PENGEMBANGAN,21-Mar-02,"5,566,414,000"
24,GDST,Gunawan Dianjaya Steel Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,23 Des 2009,"9,242,500,000"
25,GGRP,Gunung Raja Paksi Tbk.,Basic Industry & Chemicals,IDR,Pengembangan,19-Sep-19,"12,111,376,157"
26,IFII,Indonesia Fibreboard Industry,Basic Industry & Chemicals,IDR,Utama,10 Des 2019,"9,412,000,000"
